Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
10684,Full Survey,1105594:09:20,"Paying for housing (rent, utilities, mortgage, taxes);",York,Yes,Yes,Other,45 - 64,White;,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",No,,,,,,,,,,,,
10685,Full Survey,1102978:46:06,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);",Cumberland & York,,Yes,Other,,,,No,,,,,,,,,,,,
10686,Full Survey,1105572:19:54,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Getting to work, school, or appointments (transportation);",Cumberland,No,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10687,Full Survey,1105440:47:00,"Finding affordable healthcare;Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Caring for aging parents or relatives;",York,No,Yes,Other,More than 75,White;,Formerly Involved,No,,,,,,,,,,,,
10688,Full Survey,1105353:10:42,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits;Lack of stable jobs with career growth;Feeling isolated or not connected to community;",Cumberland,Yes,Yes,Other,25 - 44,Prefer not to answer;,I am not connected with United Way,No,,,,,,,,,,,,
10689,Full Survey,1105477:08:57,Behavioral health challenges (like substance use or addiction);,Cumberland,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10690,Full Survey,1104251:52:29,"Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Caring for aging parents or relatives;",Cumberland,Yes,Yes,Other,45 - 64,White;,,No,,,,,,,,,,,,
10691,Full Survey,1105265:24:03,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;",Cumberland,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10692,Full Survey,1101829:39:17,"Feeling isolated or not connected to community;Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,Yes,Other,,,,No,,,,,,,,,,,,
10693,Full Survey,1105929:35:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression)",York,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10694,Full Survey,1102736:37:16,"Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Caring for aging parents or relatives;Feeling isolated or not connected to community;",York,Yes,Yes,Other,,,,No,,,,,,,,,,,,
10695,Full Survey,1105405:15:12,"Paying for housing (rent, utilities, mortgage, taxes);",York,Yes,Yes,Other,45 - 64,Black or African American;,I am not connected with United Way,No,,,,,,,,,,,,
10696,Full Survey,1102737:44:59,"Caring for aging parents or relatives;Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);",York,Yes,Yes,Other,,,,No,,,,,,,,,,,,
10697,Full Survey,1105232:41:04,"Child care that is affordable and available;Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);",York,No,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10698,Full Survey,1105329:28:35,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;",Cumberland,No,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10699,Full Survey,1105934:32:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);Child care that is affordable and available;Jobs with low pay or no benefits",York,,Yes,Other,,,,,,,,,,,,,,,,
10700,Full Survey,1106001:10:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Finding affordable healthcare;Feeling isolated or not connected to community",York,,Yes,Other,,,,,,,,,,,,,,,,
10701,Full Survey,1105930:02:00,"Finding affordable healthcare;Caring for aging parents or relatives;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits",York,,Yes,Other,,,,,,,,,,,,,,,,
10702,Full Survey,1105401:07:19,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community;Covering basic expenses (groceries, gas, emergencies);",York,Yes,Yes,Other,25 - 44,White;,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",No,,,,,,,,,,,,
10703,Full Survey,1103027:50:56,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);",Cumberland & York,Yes,Yes,Other,,Asian;,,No,,,,,,,,,,,,
10704,Full Survey,1105929:31:00,"Getting enough food;Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland & York,Yes,Yes,Other,65 - 75,White;,I am not connected with United Way,No,,,,,,,,,,,,
10705,Full Survey,1105473:06:00,High taxes;,Cumberland,Yes,Yes,Other,45 - 64,,I am not connected with United Way,No,,,,,,,,,,,,
10706,Full Survey,1105935:17:00,"Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Finding affordable healthcare",York,,Yes,Other,,,,,,,,,,,,,,,,
10707,Full Survey,1105623:48:06,"Jobs with low pay or no benefits;Lack of stable jobs with career growth;Feeling isolated or not connected to community;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10708,Full Survey,1105574:55:50,"Jobs with low pay or no benefits;Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;",Cumberland,Yes,Yes,Other,25 - 44,White;,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",No,,,,,,,,,,,,
10709,Full Survey,1105434:31:54,Liberals conspiring to block federal government efforts;,Cumberland,Yes,Yes,Other,65 - 75,White;,I am not connected with United Way,No,,,,,,,,,,,,
10710,Full Survey,1105065:43:20,"Mental health challenges (like anxiety, depression);Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);",Cumberland & York,No,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10711,Full Survey,1105905:46:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",Lincoln,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10712,Full Survey,1105929:28:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression)",Cumberland,Yes,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10713,Full Survey,1105695:59:37,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Jobs with low pay or no benefits;Finding affordable healthcare;",Cumberland,Yes,Yes,Other,More than 75,White;,I am not connected with United Way,No,,,,,,,,,,,,
10714,Full Survey,1105977:33:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",York,,Yes,Other,,,,,,,,,,,,,,,,
10715,Full Survey,1105982:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community",Cumberland & York,Yes,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10716,Full Survey,1105929:48:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Caring for aging parents or relatives;Child care that is affordable and available",Cumberland,,Yes,Other,,,,,,,,,,,,,,,,
10717,Full Survey,1105434:08:20,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Caring for aging parents or relatives;Feeling isolated or not connected to community;",Cumberland,No,Yes,Other,More than 75,White;,I am not connected with United Way,No,,,,,,,,,,,,
10718,Full Survey,1105572:24:12,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Access to college or training after high school;",Cumberland,Yes,Yes,Other,45 - 64,"Hispanic, Latino, or Latina/o/x;",I am not connected with United Way,Yes,,,,,,,,,,,,
10719,Full Survey,1102737:50:31,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;",Cumberland,No,Yes,Other,,,,No,,,,,,,,,,,,
10720,Full Survey,1105168:16:51,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Mental health challenges (like anxiety, depression);",Cumberland,Yes,Yes,Other,45 - 64,Black or African American;,I am not connected with United Way,No,,,,,,,,,,,,
10721,Full Survey,1104835:12:19,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Feeling isolated or not connected to community;Jobs with low pay or no benefits;",York,No,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10722,Full Survey,1102864:38:46,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives;",Cumberland,Yes,Yes,Other,,,,No,,,,,,,,,,,,
10723,Full Survey,1106053:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,No,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10724,Full Survey,1105365:20:17,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Child care that is affordable and available;",York,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10725,Full Survey,1105910:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation)",York,,Yes,Other,,,,,,,,,,,,,,,,
10726,Full Survey,1106002:50:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10727,Full Survey,1105355:42:03,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Jobs with low pay or no benefits;",Cumberland,No,Yes,Other,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10728,Full Survey,1105932:35:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting enough food;Child care that is affordable and available",York,No,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10729,Full Survey,1105835:15:15,"Paying for housing (rent, utilities, mortgage, taxes);Feeling isolated or not connected to community;Caring for aging parents or relatives;",York,Yes,Yes,Other,More than 75,White;,I am not connected with United Way,No,,,,,,,,,,,,
10730,Full Survey,1103892:41:44,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;",Cumberland,Yes,Yes,Other,65 - 75,White;,,No,,,,,,,,,,,,
10731,Full Survey,1105471:56:33,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits;",Cumberland,Yes,Yes,Other,45 - 64,Prefer not to answer;,I am not connected with United Way,No,,,,,,,,,,,,
10732,Full Survey,1105167:35:50,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;",Cumberland,No,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10733,Full Survey,1105714:56:03,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);",Cumberland & York,"Maybe, with difficulty",Yes,Other,18 - 24,White;,I am not connected with United Way,No,,,,,,,,,,,,
10734,Full Survey,1105065:43:52,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community;Child care that is affordable and available;",York,Yes,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10735,Full Survey,1105934:41:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Child care that is affordable and available",Cumberland & York,Yes,Yes,Other,45 - 64,White;,I am not connected with United Way,No,,,,,,,,,,,,
10736,Full Survey,1105930:02:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,No,Yes,Other,45 - 64,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",No,,,,,,,,,,,,
10737,Full Survey,1106100:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",York,Yes,Yes,Other,25 - 44,More than one,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10738,Full Survey,1104181:22:23,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Lack of stable jobs with career growth;Political division anger and outrage created by entertainment ""news"" and social media;",York,Yes,Yes,Other,45 - 64,Prefer not to answer;,,No,,,,,,,,,,,,
10739,Full Survey,1102734:07:38,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Finding affordable healthcare;Getting enough food;Covering basic expenses (groceries, gas, emergencies);",Other,No,Yes,Other,,,,No,,,,,,,,,,,,
10740,Full Survey,1103222:55:52,,Cumberland,No,Yes,Hispanic,Under 18,,,,,,,,,,,,,,,
10741,Full Survey,1103222:56:28,,Cumberland,No,Yes,Foster kids,18 - 24,,,,,,,,,,,,,,,
10742,Full Survey,1103222:58:50,,York,No,Yes,Town,Under 18,,,,,,,,,,,,,,,
10743,Full Survey,1103222:59:43,,York,No,Yes,Town,Under 18,,,,,,,,,,,,,,,
10744,Full Survey,1103223:00:18,,York,No,Yes,Town,Under 18,,,,,,,,,,,,,,,
10745,Full Survey,1103223:00:48,,York,No,Yes,Town,Under 18,,,,,,,,,,,,,,,
10746,Full Survey,1103223:03:33,,York,No,Yes,Noble School,Under 18,,,,,,,,,,,,,,,
10747,Full Survey,1103223:04:35,,Cumberland,No,Yes,Other,45 - 64,,,,,,,,,,,,,,,
10748,Full Survey,1105378:51:47,,York,No,Yes,Town,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10749,Full Survey,1105930:41:00,,Cumberland & York,No,Yes,Immigrant,25 - 44,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10750,Full Survey,1105930:42:00,,Cumberland,No,Yes,LGBTQ+,45 - 64,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10751,Full Survey,1106028:24:00,,York,No,Yes,African American,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10752,Full Survey,1106028:23:00,,York,No,Yes,Indigenous,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10753,Full Survey,1106028:28:00,,York,No,Yes,Women,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10754,Full Survey,1104202:44:08,,Cumberland,"Maybe, with difficulty",Yes,African American,45 - 64,,,,,,,,,,,,,,,
10755,Full Survey,1104202:49:42,,Cumberland,"Maybe, with difficulty",Yes,Immigrant,25 - 44,,,,,,,,,,,,,,,
10756,Full Survey,1105015:36:30,,Cumberland,"Maybe, with difficulty",Yes,White,Under 18,,I am not connected with United Way,,,,,,,,,,,,,
10757,Full Survey,1105689:15:14,,Cumberland,"Maybe, with difficulty",Yes,LGBTQ+,25 - 44,,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",,,,,,,,,,,,,
10758,Full Survey,1105930:41:00,,Cumberland & York,"Maybe, with difficulty",Yes,African American,25 - 44,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10759,Full Survey,1106007:13:00,,Androscoggin,"Maybe, with difficulty",Yes,Youth,25 - 44,,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",,,,,,,,,,,,,
10760,Full Survey,1106028:34:00,,York,"Maybe, with difficulty",Yes,Town,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10761,Full Survey,1103072:59:01,,York,Yes,Yes,null,,,,,,,,,,,,,,,,
10762,Full Survey,1103222:55:05,,Cumberland,Yes,Yes,Youth,Under 18,,,,,,,,,,,,,,,
10763,Full Survey,1103222:57:45,,York,Yes,Yes,,Under 18,,,,,,,,,,,,,,,
10764,Full Survey,1103223:02:23,,York,Yes,Yes,Noble School,Under 18,,,,,,,,,,,,,,,
10765,Full Survey,1103223:04:02,,Cumberland & York,Yes,Yes,LGBTQ+,45 - 64,,,,,,,,,,,,,,,
10766,Full Survey,1103223:05:46,,York,Yes,Yes,Parents,25 - 44,,,,,,,,,,,,,,,
10767,Full Survey,1104202:48:17,,Cumberland,Yes,Yes,Everyone,25 - 44,,,,,,,,,,,,,,,
10768,Full Survey,1104202:47:36,,Cumberland,Yes,Yes,null,25 - 44,,,,,,,,,,,,,,,
10769,Full Survey,1104202:42:32,,Cumberland,Yes,Yes,African American,45 - 64,,,,,,,,,,,,,,,
10770,Full Survey,1105356:31:23,,Other,Yes,Yes,Town,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10771,Full Survey,1105357:08:36,,York,Yes,Yes,Older adults,45 - 64,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10772,Full Survey,1105378:48:04,,York,Yes,Yes,Asian,25 - 44,,I am not connected with United Way,,,,,,,,,,,,,
10773,Full Survey,1105378:49:27,,Cumberland & York,Yes,Yes,Other,45 - 64,,I am not connected with United Way,,,,,,,,,,,,,
10774,Full Survey,1105378:50:49,,York,Yes,Yes,Town,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10775,Full Survey,1105689:12:36,,Cumberland,Yes,Yes,Women,45 - 64,,I am not connected with United Way,,,,,,,,,,,,,
10776,Full Survey,1105689:15:16,,Cumberland,Yes,Yes,Recovery community,25 - 44,,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",,,,,,,,,,,,,
10777,Full Survey,1105721:09:23,,Cumberland,Yes,Yes,,25 - 44,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10778,Full Survey,1105930:40:00,,York,Yes,Yes,Recovery community,25 - 44,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10779,Full Survey,1105930:40:00,,Cumberland,Yes,Yes,Youth,18 - 24,,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",,,,,,,,,,,,,
10780,Full Survey,1105930:40:00,,Other,Yes,Yes,Town,Under 18,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10781,Full Survey,1105930:41:00,,Cumberland,Yes,Yes,Parents,45 - 64,,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",,,,,,,,,,,,,
10782,Full Survey,1106028:20:00,,York,Yes,Yes,LGBTQ+,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10783,Full Survey,1106028:28:00,,York,Yes,Yes,Other,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10784,Full Survey,1106028:32:00,,York,Yes,Yes,Other,18 - 24,,I am not connected with United Way,,,,,,,,,,,,,
10785,Full Survey,1106075:46:00,,Cumberland,Yes,Yes,African American,18 - 24,,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",,,,,,,,,,,,,
10786,Full Survey,1106075:48:00,,Cumberland,Yes,Yes,African American,Under 18,,I am not connected with United Way,,,,,,,,,,,,,
10787,Abbreviated Survey,1105916:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10788,Abbreviated Survey,1105863:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community;Covering basic expenses (groceries, gas, emergencies);Lack of places where people can join together for free or low-cost concerts, activities, etc.",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10789,Abbreviated Survey,1105908:42:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10790,Abbreviated Survey,1105553:32:36,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10791,Abbreviated Survey,1105555:24:35,"Child care that is affordable and available;Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10792,Abbreviated Survey,1105747:31:34,"Covering basic expenses (groceries, gas, emergencies);getting dental, vision insurance and vet care for my dog;Impact of flooding and other extreme weather;",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10793,Abbreviated Survey,1105863:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies)",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
10794,Abbreviated Survey,1105739:56:27,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10795,Abbreviated Survey,1105569:02:10,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives;Lack of stable jobs with career growth;Feeling isolated or not connected to community;",Other,Yes,,,,,,,,,,,,,,,,,,
10796,Abbreviated Survey,1105911:12:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10797,Abbreviated Survey,1105431:40:36,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Jobs with low pay or no benefits;",York,No,,,,,,,,,,,,,,,,,,
10798,Abbreviated Survey,1105747:38:13,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Jobs with low pay or no benefits;",York,Yes,,,,,,,,,,,,,,,,,,
10799,Abbreviated Survey,1105433:24:41,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Lack of stable jobs with career growth;Feeling isolated or not connected to community;",York,Yes,,,,,,,,,,,,,,,,,,
10800,Abbreviated Survey,1105863:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Jobs with low pay or no benefits;Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10801,Abbreviated Survey,1105863:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
10802,Abbreviated Survey,1105747:15:13,Finding affordable healthcare;,York,Yes,,,,,,,,,,,,,,,,,,
10803,Abbreviated Survey,1105747:26:50,"Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10804,Abbreviated Survey,1105431:01:44,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);",York,Yes,,,,,,,,,,,,,,,,,,
10805,Abbreviated Survey,1105863:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Finding affordable healthcare;Impact of flooding and other extreme weather",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10806,Abbreviated Survey,1105747:12:37,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits;",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10807,Abbreviated Survey,1105451:57:16,"Getting to work, school, or appointments (transportation);",York,Yes,,,,,,,,,,,,,,,,,,
10808,Abbreviated Survey,1105881:33:00,"Child care that is affordable and available;Caring for aging parents or relatives;Feeling isolated or not connected to community;Behavioral health challenges (like substance use or addiction);Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10809,Abbreviated Survey,1105865:32:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
